numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
61976;20160921090000;101870;10;mq;110;7.000000;299.950000;293.750000;69;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101790;mq;mq;130;mq;296.450000;mq;300.450000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61980;20160921090000;102190;-100;8;100;6.800000;297.150000;290.150000;65;10000;3;2;2;75;6;800;38;20;10;102040;mq;mq;140;mq;mq;mq;mq;mq;mq;mq;10.600000;11.400000;-10;0;mq;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;1;8;750;6;6;1250;mq;mq;mq;mq;mq;mq;
61996;20160921090000;102780;-30;8;290;8.200000;287.350000;282.550000;73;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102430;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;11.800000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20160921090000;100570;350;1;270;10.800000;278.250000;274.350000;76;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98790;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;18.500000;18.500000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20160921090000;100300;-40;8;300;17.500000;282.550000;276.250000;65;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99940;mq;mq;570;mq;mq;mq;mq;mq;mq;mq;mq;24.700000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
67005;20160921090000;101750;-150;8;120;3.400000;301.850000;291.650000;54;20000;1;1;1;50;1;800;38;23;10;101670;mq;mq;80;mq;mq;mq;mq;mq;mq;mq;5.600000;6.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;800;1;6;1300;4;3;3100;mq;mq;mq;
71805;20160921090000;101310;-90;6;240;4.600000;285.850000;285.350000;97;300;46;4;4;90;7;80;37;mq;mq;101230;mq;mq;-1210;mq;mq;mq;mq;285.850000;mq;mq;6.400000;6.400000;-10;2;0.000000;0.000000;-30;0.000000;0.000000;-0.100000;0.400000;0.600000;mq;mq;mq;mq;7;7;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78897;20160921090000;101060;-10;5;0;0.000000;296.750000;296.050000;96;20580;mq;mq;mq;mq;mq;mq;mq;mq;mq;100970;mq;mq;-250;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20160921090000;101150;30;3;100;1.200000;295.250000;293.750000;91;52860;mq;mq;mq;mq;mq;mq;mq;mq;mq;101060;mq;mq;-150;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81401;20160921090000;101200;0;mq;190;0.600000;295.750000;295.750000;100;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101140;mq;mq;-50;mq;295.750000;mq;307.550000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20160921090000;101230;70;3;0;0.000000;295.350000;295.050000;98;25000;0;mq;mq;mq;0;mq;mq;mq;mq;101140;mq;mq;-30;mq;mq;mq;mq;294.850000;mq;mq;0.000000;0.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81408;20160921090000;101210;0;mq;0;0.000000;294.550000;293.850000;96;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101140;mq;mq;-30;mq;294.550000;mq;308.250000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20160921090000;101220;30;2;80;1.400000;296.350000;295.650000;96;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100010;mq;mq;-100;mq;mq;mq;mq;mq;mq;mq;2.600000;2.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20160921090000;96810;-510;6;90;26.200000;261.950000;260.250000;86;50;71;7;7;101;mq;mq;62;61;60;96270;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;36.000000;36.500000;-30;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
